GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0050308,sugar-phosphatase activity,7,1,0.33,8.048394e-01,MF
GO:0019203,carbohydrate phosphatase activity,7,1,0.33,8.048394e-01,MF
GO:0050291,sphingosine N-acyltransferase activity,7,1,0.33,8.095687e-01,MF
GO:0008195,phosphatidate phosphatase activity,7,1,0.33,8.119701e-01,MF
GO:0042577,lipid phosphatase activity,7,1,0.33,8.119701e-01,MF
GO:0046873,metal ion transmembrane transporter activity,29,2,1.35,8.134494e-01,MF
GO:0004707,MAP kinase activity,7,1,0.33,8.136655e-01,MF
GO:0003995,acyl-CoA dehydrogenase activity,11,1,0.51,8.136708e-01,MF
GO:0052890,"oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor",11,1,0.51,8.136708e-01,MF
GO:0005516,calmodulin binding,19,2,0.88,8.160222e-01,MF
GO:0018580,nitronate monooxygenase activity,20,2,0.93,8.161573e-01,MF
GO:0016703,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)",20,2,0.93,8.161573e-01,MF
GO:0032454,histone H3K9 demethylase activity,8,1,0.37,8.170398e-01,MF
GO:0004559,alpha-mannosidase activity,40,2,1.86,8.179991e-01,MF
GO:0010945,coenzyme A diphosphatase activity,8,1,0.37,8.215639e-01,MF
GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity,8,1,0.37,8.233426e-01,MF
GO:0016846,carbon-sulfur lyase activity,49,4,2.28,8.257616e-01,MF
GO:0051879,Hsp90 protein binding,9,1,0.42,8.267825e-01,MF
GO:0030544,Hsp70 protein binding,9,1,0.42,8.267825e-01,MF
GO:0008495,protoheme IX farnesyltransferase activity,8,1,0.37,8.268830e-01,MF
GO:0016830,carbon-carbon lyase activity,98,6,4.56,8.276139e-01,MF
GO:0016758,hexosyltransferase activity,167,10,7.77,8.277581e-01,MF
GO:0004563,beta-N-acetylhexosaminidase activity,8,1,0.37,8.280234e-01,MF
GO:0015929,hexosaminidase activity,8,1,0.37,8.280234e-01,MF
GO:0004185,serine-type carboxypeptidase activity,80,6,3.72,8.286314e-01,MF
GO:0070008,serine-type exopeptidase activity,80,6,3.72,8.286314e-01,MF
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",188,12,8.75,8.304597e-01,MF
GO:0050661,NADP binding,129,9,6.00,8.335435e-01,MF
GO:0090729,toxin activity,8,1,0.37,8.355295e-01,MF
GO:0004061,arylformamidase activity,12,1,0.56,8.383884e-01,MF
GO:0008194,UDP-glycosyltransferase activity,110,7,5.12,8.412893e-01,MF
GO:0020037,heme binding,845,47,39.33,8.418608e-01,MF
GO:0141052,histone H3 demethylase activity,9,1,0.42,8.461847e-01,MF
GO:0016706,2-oxoglutarate-dependent dioxygenase activity,9,1,0.42,8.461847e-01,MF
GO:0032452,histone demethylase activity,9,1,0.42,8.461847e-01,MF
GO:0140457,protein demethylase activity,9,1,0.42,8.461847e-01,MF
GO:0032451,demethylase activity,9,1,0.42,8.461847e-01,MF
GO:0030170,pyridoxal phosphate binding,124,7,5.77,8.487737e-01,MF
GO:0090599,alpha-glucosidase activity,33,2,1.54,8.489287e-01,MF
GO:0008235,metalloexopeptidase activity,62,4,2.89,8.508993e-01,MF
GO:0003887,DNA-directed DNA polymerase activity,31,2,1.44,8.515433e-01,MF
GO:0033897,ribonuclease T2 activity,11,1,0.51,8.534264e-01,MF
GO:0047617,fatty acyl-CoA hydrolase activity,15,1,0.70,8.537089e-01,MF
GO:0098772,molecular function regulator activity,55,4,2.56,8.548577e-01,MF
GO:0003950,NAD+ poly-ADP-ribosyltransferase activity,9,1,0.42,8.570323e-01,MF
GO:0016868,intramolecular phosphotransferase activity,21,2,0.98,8.629604e-01,MF
GO:0140326,ATPase-coupled intramembrane lipid carrier activity,14,1,0.65,8.631796e-01,MF
GO:0140303,intramembrane lipid carrier activity,14,1,0.65,8.631796e-01,MF
GO:0016289,acyl-CoA hydrolase activity,16,1,0.74,8.632155e-01,MF
GO:0140657,ATP-dependent activity,60,4,2.79,8.633643e-01,MF
GO:0030515,snoRNA binding,17,1,0.79,8.648844e-01,MF
GO:0000287,magnesium ion binding,85,6,3.96,8.659375e-01,MF
GO:0070403,NAD+ binding,18,1,0.84,8.661648e-01,MF
GO:0008408,3'-5' exonuclease activity,37,3,1.72,8.668946e-01,MF
GO:0043531,ADP binding,87,4,4.05,8.687909e-01,MF
GO:0016814,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",24,2,1.12,8.726287e-01,MF
GO:0042626,ATPase-coupled transmembrane transporter activity,193,11,8.98,8.729195e-01,MF
GO:0008171,O-methyltransferase activity,84,6,3.91,8.750270e-01,MF
GO:0042393,histone binding,10,1,0.47,8.788922e-01,MF
GO:0035091,phosphatidylinositol binding,44,3,2.05,8.794410e-01,MF
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",11,1,0.51,8.802646e-01,MF
GO:0005388,P-type calcium transporter activity,10,1,0.47,8.812288e-01,MF
GO:0140299,molecular sensor activity,41,3,1.91,8.819611e-01,MF
GO:0004364,glutathione transferase activity,10,1,0.47,8.849517e-01,MF
GO:0005179,hormone activity,10,1,0.47,8.864482e-01,MF
GO:0048018,receptor ligand activity,10,1,0.47,8.864482e-01,MF
GO:0030546,signaling receptor activator activity,10,1,0.47,8.864482e-01,MF
GO:0140658,ATP-dependent chromatin remodeler activity,64,4,2.98,8.884458e-01,MF
GO:0015095,magnesium ion transmembrane transporter activity,13,1,0.61,8.906508e-01,MF
GO:0005215,transporter activity,17,1,0.79,8.921673e-01,MF
GO:0005319,lipid carrier activity,17,1,0.79,8.921673e-01,MF
GO:0004565,beta-galactosidase activity,15,1,0.70,8.934407e-01,MF
GO:0004842,ubiquitin-protein transferase activity,84,4,3.91,8.934782e-01,MF
GO:0008168,methyltransferase activity,427,24,19.87,8.935248e-01,MF
GO:0050660,flavin adenine dinucleotide binding,332,19,15.45,9.010198e-01,MF
GO:0000104,succinate dehydrogenase activity,16,1,0.74,9.021679e-01,MF
GO:0003925,G protein activity,14,1,0.65,9.026103e-01,MF
GO:0004040,amidase activity,13,1,0.61,9.028315e-01,MF
GO:0008641,ubiquitin-like modifier activating enzyme activity,16,1,0.74,9.032250e-01,MF
GO:0004462,lactoylglutathione lyase activity,13,1,0.61,9.051569e-01,MF
GO:0070003,threonine-type peptidase activity,11,1,0.51,9.053925e-01,MF
GO:0140359,ABC-type transporter activity,160,9,7.45,9.089355e-01,MF
GO:0008238,exopeptidase activity,171,10,7.96,9.091919e-01,MF
GO:0004252,serine-type endopeptidase activity,144,7,6.70,9.108016e-01,MF
GO:0160215,deacylase activity,73,2,3.40,9.109934e-01,MF
GO:0046983,protein dimerization activity,299,12,13.92,9.122767e-01,MF
GO:0005096,GTPase activator activity,42,2,1.95,9.127536e-01,MF
GO:0051287,NAD binding,58,3,2.70,9.177511e-01,MF
GO:0016860,intramolecular oxidoreductase activity,20,1,0.93,9.181874e-01,MF
GO:0004571,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",28,1,1.30,9.197291e-01,MF
GO:0015924,mannosyl-oligosaccharide mannosidase activity,28,1,1.30,9.197291e-01,MF
GO:0016301,kinase activity,1083,53,50.41,9.201864e-01,MF
GO:0019787,ubiquitin-like protein transferase activity,93,4,4.33,9.206096e-01,MF
GO:0015926,glucosidase activity,48,2,2.23,9.206641e-01,MF
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",17,1,0.79,9.212279e-01,MF
GO:0004222,metalloendopeptidase activity,84,5,3.91,9.212739e-01,MF
