Gene_ID,Category
EVM0006260,Symbiotic_specific_UP
EVM0006272,Symbiotic_specific_UP
EVM0006293,Symbiotic_specific_UP
EVM0006305,Symbiotic_specific_UP
EVM0006321,Symbiotic_specific_UP
EVM0006328,Symbiotic_specific_UP
EVM0006331,Symbiotic_specific_UP
EVM0006335,Symbiotic_specific_UP
EVM0006421,NonSymbiotic_specific_DOWN
EVM0006431,Symbiotic_specific_UP
EVM0006460,Symbiotic_specific_UP
EVM0006491,Symbiotic_specific_UP
EVM0006518,Symbiotic_specific_UP
EVM0006527,Symbiotic_specific_UP
EVM0006540,Symbiotic_specific_UP
EVM0006587,Symbiotic_specific_UP
EVM0006610,Symbiotic_specific_UP
EVM0006619,NonSymbiotic_specific_DOWN
EVM0006643,Symbiotic_specific_UP
EVM0006690,Symbiotic_specific_UP
EVM0006695,Symbiotic_specific_UP
EVM0006732,Symbiotic_specific_UP
EVM0006739,Symbiotic_specific_UP
EVM0006752,Symbiotic_specific_UP
EVM0006772,Symbiotic_specific_UP
EVM0006787,Symbiotic_specific_UP
EVM0006799,Symbiotic_specific_UP
EVM0006827,Symbiotic_specific_UP
EVM0006838,NonSymbiotic_specific_DOWN
EVM0006852,Symbiotic_specific_UP
EVM0006893,NonSymbiotic_specific_DOWN
EVM0006898,Symbiotic_specific_UP
EVM0006948,Symbiotic_specific_UP
EVM0006970,Symbiotic_specific_UP
EVM0006989,Symbiotic_specific_UP
EVM0007009,Symbiotic_specific_UP
EVM0007023,NonSymbiotic_specific_DOWN
EVM0007042,Symbiotic_specific_UP
EVM0007072,Symbiotic_specific_UP
EVM0007090,Symbiotic_specific_UP
EVM0007138,Symbiotic_specific_UP
EVM0007145,NonSymbiotic_specific_DOWN
EVM0007150,NonSymbiotic_specific_DOWN
EVM0007157,Symbiotic_specific_UP
EVM0007176,Symbiotic_specific_UP
EVM0007187,Symbiotic_specific_UP
EVM0007198,NonSymbiotic_specific_DOWN
EVM0007241,Symbiotic_specific_UP
EVM0007261,Symbiotic_specific_UP
EVM0007300,Symbiotic_specific_UP
EVM0007337,Symbiotic_specific_UP
EVM0007344,Symbiotic_specific_UP
EVM0007365,Symbiotic_specific_UP
EVM0007379,Symbiotic_specific_UP
EVM0007385,Symbiotic_specific_UP
EVM0007396,NonSymbiotic_specific_DOWN
EVM0007398,Symbiotic_specific_UP
EVM0007399,Symbiotic_specific_UP
EVM0007405,Symbiotic_specific_UP
EVM0007440,Symbiotic_specific_UP
EVM0007458,NonSymbiotic_specific_DOWN
EVM0007476,Symbiotic_specific_UP
EVM0007478,Symbiotic_specific_UP
EVM0007480,Symbiotic_specific_UP
EVM0007483,NonSymbiotic_specific_DOWN
EVM0007509,Symbiotic_specific_UP
EVM0007516,Symbiotic_specific_UP
EVM0007524,Symbiotic_specific_UP
EVM0007528,Symbiotic_specific_UP
EVM0007539,Symbiotic_specific_UP
EVM0007546,Symbiotic_specific_UP
EVM0007559,Symbiotic_specific_UP
EVM0007570,Symbiotic_specific_UP
EVM0007603,Symbiotic_specific_UP
EVM0007626,Symbiotic_specific_UP
EVM0007648,Symbiotic_specific_UP
EVM0007655,Symbiotic_specific_UP
EVM0007659,Symbiotic_specific_UP
EVM0007717,Symbiotic_specific_UP
EVM0007759,Symbiotic_specific_UP
EVM0007768,Symbiotic_specific_UP
EVM0007806,NonSymbiotic_specific_DOWN
EVM0007812,Symbiotic_specific_UP
EVM0007828,Symbiotic_specific_UP
EVM0007838,Symbiotic_specific_UP
EVM0007842,Symbiotic_specific_UP
EVM0007904,Symbiotic_specific_UP
EVM0007915,Symbiotic_specific_UP
EVM0007924,Symbiotic_specific_UP
EVM0007928,Symbiotic_specific_UP
EVM0007941,Symbiotic_specific_UP
EVM0007969,Symbiotic_specific_UP
EVM0007975,Symbiotic_specific_UP
EVM0008009,NonSymbiotic_specific_DOWN
EVM0008010,Symbiotic_specific_UP
EVM0008027,Symbiotic_specific_UP
EVM0008046,Symbiotic_specific_UP
EVM0008047,Symbiotic_specific_UP
EVM0008062,Symbiotic_specific_UP
EVM0008092,Symbiotic_specific_UP
EVM0008102,Symbiotic_specific_UP
EVM0008116,NonSymbiotic_specific_DOWN
EVM0008120,Symbiotic_specific_UP
EVM0008142,NonSymbiotic_specific_DOWN
EVM0008146,Symbiotic_specific_UP
EVM0008147,NonSymbiotic_specific_DOWN
EVM0008193,Symbiotic_specific_UP
EVM0008215,NonSymbiotic_specific_DOWN
EVM0008245,Symbiotic_specific_UP
EVM0008262,NonSymbiotic_specific_DOWN
EVM0008266,Symbiotic_specific_UP
EVM0008279,Symbiotic_specific_UP
EVM0008313,Symbiotic_specific_UP
EVM0008358,Symbiotic_specific_UP
EVM0008408,NonSymbiotic_specific_DOWN
EVM0008423,Symbiotic_specific_UP
EVM0008439,Symbiotic_specific_UP
EVM0008480,Symbiotic_specific_UP
EVM0008511,Symbiotic_specific_UP
EVM0008570,Symbiotic_specific_UP
EVM0008612,Symbiotic_specific_UP
EVM0008624,Symbiotic_specific_UP
EVM0008665,NonSymbiotic_specific_DOWN
EVM0008682,Symbiotic_specific_UP
EVM0008832,Symbiotic_specific_UP
EVM0008857,Symbiotic_specific_UP
EVM0008871,Symbiotic_specific_UP
EVM0008877,Symbiotic_specific_UP
EVM0008883,Symbiotic_specific_UP
EVM0008952,Symbiotic_specific_UP
EVM0008965,Symbiotic_specific_UP
EVM0008979,Symbiotic_specific_UP
EVM0008991,Symbiotic_specific_UP
EVM0009016,NonSymbiotic_specific_DOWN
EVM0009027,Symbiotic_specific_UP
EVM0009050,Symbiotic_specific_UP
EVM0009052,Symbiotic_specific_UP
EVM0009063,Symbiotic_specific_UP
EVM0009085,Symbiotic_specific_UP
EVM0009091,Symbiotic_specific_UP
EVM0009110,Symbiotic_specific_UP
EVM0009153,Symbiotic_specific_UP
EVM0009190,NonSymbiotic_specific_DOWN
EVM0009194,NonSymbiotic_specific_DOWN
EVM0009243,Symbiotic_specific_UP
EVM0009246,Symbiotic_specific_UP
EVM0009261,Symbiotic_specific_UP
EVM0009262,NonSymbiotic_specific_DOWN
EVM0009331,Symbiotic_specific_UP
EVM0009461,Symbiotic_specific_UP
EVM0009473,Symbiotic_specific_UP
EVM0009478,Symbiotic_specific_UP
EVM0009495,Symbiotic_specific_UP
EVM0009518,NonSymbiotic_specific_DOWN
EVM0009574,Symbiotic_specific_UP
EVM0009596,NonSymbiotic_specific_DOWN
EVM0009625,NonSymbiotic_specific_DOWN
EVM0009645,Symbiotic_specific_UP
EVM0009653,Symbiotic_specific_UP
EVM0009671,Symbiotic_specific_UP
EVM0009676,Symbiotic_specific_UP
EVM0009714,NonSymbiotic_specific_DOWN
EVM0009737,Symbiotic_specific_UP
EVM0009825,Symbiotic_specific_UP
EVM0009837,Symbiotic_specific_UP
EVM0009847,Symbiotic_specific_UP
EVM0009852,Symbiotic_specific_UP
EVM0009911,Symbiotic_specific_UP
EVM0009931,Symbiotic_specific_UP
EVM0009966,Symbiotic_specific_UP
EVM0009971,Symbiotic_specific_UP
EVM0009978,Symbiotic_specific_UP
EVM0009979,NonSymbiotic_specific_DOWN
EVM0010015,Symbiotic_specific_UP
EVM0010017,Symbiotic_specific_UP
EVM0010066,Symbiotic_specific_UP
EVM0010067,Symbiotic_specific_UP
EVM0010081,Symbiotic_specific_UP
EVM0010114,Symbiotic_specific_UP
EVM0010131,Symbiotic_specific_UP
EVM0010132,NonSymbiotic_specific_DOWN
EVM0010209,Symbiotic_specific_UP
EVM0010212,NonSymbiotic_specific_DOWN
EVM0010219,Symbiotic_specific_UP
EVM0010221,Symbiotic_specific_UP
EVM0010229,Symbiotic_specific_UP
EVM0010231,Symbiotic_specific_UP
EVM0010281,Symbiotic_specific_UP
EVM0010287,Symbiotic_specific_UP
EVM0010315,Symbiotic_specific_UP
EVM0010317,NonSymbiotic_specific_DOWN
EVM0010338,Symbiotic_specific_UP
EVM0010345,Symbiotic_specific_UP
EVM0010347,Symbiotic_specific_UP
EVM0010348,NonSymbiotic_specific_DOWN
EVM0010367,NonSymbiotic_specific_DOWN
EVM0010381,Symbiotic_specific_UP
EVM0010401,Symbiotic_specific_UP
EVM0010402,Symbiotic_specific_UP
EVM0010407,Symbiotic_specific_UP
EVM0010418,Symbiotic_specific_UP
EVM0010443,Symbiotic_specific_UP
EVM0010445,Symbiotic_specific_UP
EVM0010449,Symbiotic_specific_UP
EVM0010509,Symbiotic_specific_UP
EVM0010513,Symbiotic_specific_UP
EVM0010519,NonSymbiotic_specific_DOWN
EVM0010550,Symbiotic_specific_UP
EVM0010563,Symbiotic_specific_UP
EVM0010601,NonSymbiotic_specific_DOWN
EVM0010613,Symbiotic_specific_UP
EVM0010644,Symbiotic_specific_UP
EVM0010655,Symbiotic_specific_UP
EVM0010665,Symbiotic_specific_UP
EVM0010727,Symbiotic_specific_UP
EVM0010733,Symbiotic_specific_UP
EVM0010747,Symbiotic_specific_UP
EVM0010751,Symbiotic_specific_UP
EVM0010753,Symbiotic_specific_UP
EVM0010776,Symbiotic_specific_UP
EVM0010796,Symbiotic_specific_UP
EVM0010819,Symbiotic_specific_UP
EVM0010822,Symbiotic_specific_UP
EVM0010837,NonSymbiotic_specific_DOWN
EVM0010859,Symbiotic_specific_UP
EVM0010897,Symbiotic_specific_UP
EVM0010899,Symbiotic_specific_UP
EVM0010907,Symbiotic_specific_UP
EVM0010945,Symbiotic_specific_UP
EVM0010953,Symbiotic_specific_UP
EVM0011019,Symbiotic_specific_UP
EVM0011024,Symbiotic_specific_UP
EVM0011028,Symbiotic_specific_UP
EVM0011070,Symbiotic_specific_UP
EVM0011104,Symbiotic_specific_UP
EVM0011140,Symbiotic_specific_UP
EVM0011146,Symbiotic_specific_UP
EVM0011178,Symbiotic_specific_UP
EVM0011227,Symbiotic_specific_UP
EVM0011254,Symbiotic_specific_UP
EVM0011292,Symbiotic_specific_UP
EVM0011299,Symbiotic_specific_UP
EVM0011300,NonSymbiotic_specific_DOWN
EVM0011330,NonSymbiotic_specific_DOWN
EVM0011351,Symbiotic_specific_UP
EVM0011360,Symbiotic_specific_UP
EVM0011382,Symbiotic_specific_UP
EVM0011397,Symbiotic_specific_UP
EVM0011416,Symbiotic_specific_UP
EVM0011436,Symbiotic_specific_UP
EVM0011456,Symbiotic_specific_UP
EVM0011471,NonSymbiotic_specific_DOWN
EVM0011486,Symbiotic_specific_UP
EVM0011505,Symbiotic_specific_UP
EVM0011531,NonSymbiotic_specific_DOWN
EVM0011596,Symbiotic_specific_UP
EVM0011624,Symbiotic_specific_UP
EVM0011627,Symbiotic_specific_UP
EVM0011629,NonSymbiotic_specific_DOWN
EVM0011643,Symbiotic_specific_UP
EVM0011703,Symbiotic_specific_UP
EVM0011707,NonSymbiotic_specific_DOWN
EVM0011791,Symbiotic_specific_UP
EVM0011801,Symbiotic_specific_UP
EVM0011813,Symbiotic_specific_UP
EVM0011839,Symbiotic_specific_UP
EVM0011896,Symbiotic_specific_UP
EVM0011920,Symbiotic_specific_UP
EVM0011924,Symbiotic_specific_UP
EVM0011939,NonSymbiotic_specific_DOWN
EVM0011947,Symbiotic_specific_UP
EVM0011953,Symbiotic_specific_UP
EVM0011955,Symbiotic_specific_UP
EVM0011974,Symbiotic_specific_UP
EVM0011988,Symbiotic_specific_UP
EVM0012013,Symbiotic_specific_UP
EVM0012018,Symbiotic_specific_UP
EVM0012086,Symbiotic_specific_UP
EVM0012143,Symbiotic_specific_UP
EVM0012151,Symbiotic_specific_UP
EVM0012158,Symbiotic_specific_UP
EVM0012163,Symbiotic_specific_UP
EVM0012173,NonSymbiotic_specific_DOWN
EVM0012175,Symbiotic_specific_UP
EVM0012177,NonSymbiotic_specific_DOWN
EVM0012199,Symbiotic_specific_UP
EVM0012221,Symbiotic_specific_UP
EVM0012256,Symbiotic_specific_UP
EVM0012300,Symbiotic_specific_UP
EVM0012325,NonSymbiotic_specific_DOWN
EVM0012343,Symbiotic_specific_UP
EVM0012363,Symbiotic_specific_UP
EVM0012424,Symbiotic_specific_UP
EVM0012450,NonSymbiotic_specific_DOWN
EVM0012472,Symbiotic_specific_UP
EVM0012478,Symbiotic_specific_UP
EVM0012519,Symbiotic_specific_UP
EVM0012527,Symbiotic_specific_UP
EVM0012540,Symbiotic_specific_UP
EVM0012545,Symbiotic_specific_UP
EVM0012563,Symbiotic_specific_UP
EVM0012606,NonSymbiotic_specific_DOWN
EVM0012609,NonSymbiotic_specific_DOWN
EVM0012629,Symbiotic_specific_UP
EVM0012658,Symbiotic_specific_UP
EVM0012659,Symbiotic_specific_UP
EVM0012663,Symbiotic_specific_UP
EVM0012675,Symbiotic_specific_UP
EVM0012679,Symbiotic_specific_UP
EVM0012692,NonSymbiotic_specific_DOWN
EVM0012694,Symbiotic_specific_UP
EVM0012699,Symbiotic_specific_UP
EVM0012751,Symbiotic_specific_UP
EVM0012752,Symbiotic_specific_UP
EVM0012754,Symbiotic_specific_UP
EVM0012760,Symbiotic_specific_UP
EVM0012772,Symbiotic_specific_UP
EVM0012773,NonSymbiotic_specific_DOWN
EVM0012813,NonSymbiotic_specific_DOWN
EVM0012844,NonSymbiotic_specific_DOWN
EVM0012872,NonSymbiotic_specific_DOWN
EVM0012940,Symbiotic_specific_UP
EVM0012948,NonSymbiotic_specific_DOWN
EVM0012991,NonSymbiotic_specific_DOWN
EVM0013042,Symbiotic_specific_UP
EVM0013059,Symbiotic_specific_UP
EVM0013072,Symbiotic_specific_UP
EVM0013096,Symbiotic_specific_UP
EVM0013107,Symbiotic_specific_UP
EVM0013131,Symbiotic_specific_UP
EVM0013144,Symbiotic_specific_UP
EVM0013153,Symbiotic_specific_UP
EVM0013177,Symbiotic_specific_UP
EVM0013208,Symbiotic_specific_UP
EVM0013276,NonSymbiotic_specific_DOWN
EVM0013292,Symbiotic_specific_UP
EVM0013299,Symbiotic_specific_UP
EVM0013305,Symbiotic_specific_UP
EVM0013336,NonSymbiotic_specific_DOWN
EVM0013351,NonSymbiotic_specific_DOWN
EVM0013396,NonSymbiotic_specific_DOWN
EVM0013410,Symbiotic_specific_UP
EVM0013421,Symbiotic_specific_UP
EVM0013426,Symbiotic_specific_UP
EVM0013465,NonSymbiotic_specific_DOWN
EVM0013467,Symbiotic_specific_UP
EVM0013477,Symbiotic_specific_UP
EVM0013479,Symbiotic_specific_UP
EVM0013492,Symbiotic_specific_UP
EVM0013520,Symbiotic_specific_UP
EVM0013522,Symbiotic_specific_UP
EVM0013535,NonSymbiotic_specific_DOWN
EVM0013539,Symbiotic_specific_UP
EVM0013629,NonSymbiotic_specific_DOWN
EVM0013635,Symbiotic_specific_UP
EVM0013651,NonSymbiotic_specific_DOWN
EVM0013696,NonSymbiotic_specific_DOWN
EVM0013766,Symbiotic_specific_UP
EVM0013772,Symbiotic_specific_UP
EVM0013809,Symbiotic_specific_UP
EVM0013825,Symbiotic_specific_UP
EVM0013863,NonSymbiotic_specific_DOWN
EVM0013903,Symbiotic_specific_UP
EVM0013938,Symbiotic_specific_UP
EVM0013951,Symbiotic_specific_UP
EVM0013974,Symbiotic_specific_UP
EVM0014002,Symbiotic_specific_UP
EVM0014026,NonSymbiotic_specific_DOWN
EVM0014037,Symbiotic_specific_UP
EVM0014038,NonSymbiotic_specific_DOWN
EVM0014047,Symbiotic_specific_UP
EVM0014111,Symbiotic_specific_UP
EVM0014113,Symbiotic_specific_UP
EVM0014115,Symbiotic_specific_UP
EVM0014121,Symbiotic_specific_UP
EVM0014150,Symbiotic_specific_UP
EVM0014182,Symbiotic_specific_UP
EVM0014203,Symbiotic_specific_UP
EVM0014217,Symbiotic_specific_UP
EVM0014219,Symbiotic_specific_UP
EVM0014236,Symbiotic_specific_UP
EVM0014247,Symbiotic_specific_UP
EVM0014278,Symbiotic_specific_UP
EVM0014286,Symbiotic_specific_UP
