"Gene ID","Gene Name","Gene Description",FC(MS20/M5),Log2FC(MS20/M5),Pvalue,Padjust,Significant,Regulate,MS20_1,MS20_2,MS20_3,M5_1,M5_2,M5_3,MS20,M5
EVM0008059,,-,0.215367724782,-2.2151260325,0.000173616137533,0.00232323722034,yes,down,11.05,6.57,5.71,46.82,39.96,8.67,7.77666666667,31.8166666667
EVM0008062,,-,2.42291315534,1.27674269509,0.00874878066644,0.0474603952001,yes,up,7.27,9.65,6.24,2.51,3.49,2.73,7.72,2.91
EVM0008063,,-,0.280279057761,-1.83506414357,0.000133894278176,0.00189322921116,yes,down,6.13,4.15,4.06,21.85,16.19,7.81,4.78,15.2833333333
EVM0008071,,-,0.425898309487,-1.23141909146,0.000332358610884,0.00390095583329,yes,down,52.61,51,47.25,108.92,95.8,117.97,50.2866666667,107.563333333
EVM0008077,,-,0.031793226052,-4.97513677591,0.00543304255651,0.033641307813,yes,down,0.42,0,0,1.54,5.4,3.81,0.14,3.58333333333
EVM0008082,,-,0.0950182623159,-3.39565136664,9.27038029511E-8,4.36501061489E-6,yes,down,28.69,24.49,32.06,86.84,178.3,548.37,28.4133333333,271.17
EVM0008083,,-,0.462014471486,-1.11399005361,0.00176070652079,0.0143748102955,yes,down,142.92,123.99,143.61,334.12,232.94,248.74,136.84,271.933333333
EVM0008092,,-,7.23718387193,2.85542842599,1.68057300148E-5,0.000355707819184,yes,up,1817.78,1044.69,810.11,295.03,127.73,30.5,1224.19333333,151.086666667
EVM0008099,,-,0.18577381864,-2.42838089984,3.08414876043E-6,8.78832680764E-5,yes,down,13.65,12.69,12.33,92.68,73.25,24.45,12.89,63.46
EVM0008102,,-,9.93841170437,3.31301530759,4.48556265997E-12,7.45195834359E-10,yes,up,28.34,21.3,27.05,3.61,1.43,1.99,25.5633333333,2.34333333333
EVM0008114,,-,18.4485195287,4.20543314129,1.69451815659E-18,9.32514523049E-16,yes,up,298.38,447.56,471.9,21.17,12.5,28.35,405.946666667,20.6733333333
EVM0008117,,-,0.114063224687,-3.13209436998,2.07412256601E-7,8.61951280792E-6,yes,down,22.99,13.37,17.51,203.86,196.25,39.63,17.9566666667,146.58
EVM0008120,,-,3.23970458926,1.69586226773,0.000549011740023,0.00578235451065,yes,up,10.62,7.27,5.15,1.81,1.75,2.68,7.68,2.08
EVM0008127,,-,3.49893220796,1.80691471254,2.46752587074E-5,0.000482812562042,yes,up,76.96,78.62,72.18,27.52,20.17,12.94,75.92,20.21
EVM0008131,,-,0.0864006741981,-3.53281361977,3.86038049965E-8,2.06003941209E-6,yes,down,5.04,8.14,10.08,66.23,156.64,31.58,7.75333333333,84.8166666667
EVM0008137,,-,0.318690029198,-1.64977421243,0.00404229331828,0.0271490409363,yes,down,1.36,0.92,1.28,3.87,2.4,3.94,1.18666666667,3.40333333333
EVM0008146,,-,2.84390796739,1.5078747782,0.00615752826551,0.0367741180402,yes,up,9.4,14.92,15.4,3.22,6.07,3.89,13.24,4.39333333333
EVM0008161,,-,0.308361495435,-1.69730546521,0.000665742321422,0.00669847979121,yes,down,8.77,11.77,14.72,33.5,23.71,50.09,11.7533333333,35.7666666667
EVM0008167,,-,0.180904726842,-2.4666979904,2.69076217733E-8,1.50905483894E-6,yes,down,8.87,8.34,11.48,52.28,61.84,31.85,9.56333333333,48.6566666667
EVM0008174,,-,0.129801640071,-2.94561948268,0.00116907901406,0.0104770897901,yes,down,17.78,6.63,30.57,20.56,32.45,336.13,18.3266666667,129.713333333
EVM0008181,,-,0.0184458549639,-5.76055953039,0.0004311189402,0.00477556883452,yes,down,0.07,0,0,1.52,1.13,0.3,0.0233333333333,0.983333333333
EVM0008193,,-,2.69465469972,1.43010041401,0.00248063567526,0.0186524313583,yes,up,209.82,287.29,237.96,137.22,54.56,64.3,245.023333333,85.36
EVM0008205,,-,0.145475459743,-2.78115228947,1.57930955729E-6,4.91371754485E-5,yes,down,2.7,2.74,3.38,17.4,27.24,11.67,2.94,18.77
EVM0008220,,-,0.242014979505,-2.04683174909,0.000833736923251,0.00802739596416,yes,down,30.11,23.79,18.43,140.8,107.98,21.07,24.11,89.95
EVM0008225,,-,0.0160339400317,-5.96272720622,9.6303491622E-24,1.30454191343E-20,yes,down,1.62,1.59,2.71,100.23,196.34,46.64,1.97333333333,114.403333333
EVM0008244,,-,0.351845527611,-1.50698592018,2.43301668072E-5,0.000477652438657,yes,down,161.2,124.2,161.09,365.68,416.46,387.81,148.83,389.983333333
EVM0008245,,-,4.71937515666,2.23859586,0.00828529314747,0.0457236014813,yes,up,7.96,12.38,3.8,1.76,0.71,2.25,8.04666666667,1.57333333333
EVM0008266,,-,5.93123540606,2.56833263236,0.00015177818795,0.00208650576877,yes,up,114.82,32.73,51,7.08,2.73,18.96,66.1833333333,9.59
EVM0008277,,-,0.419629334423,-1.25281256104,0.00545999638223,0.0337607220123,yes,down,19.52,13.34,16.07,47.41,39.01,18.93,16.31,35.1166666667
EVM0008279,,-,2.28836716046,1.19431854603,0.00758021827492,0.0429186730769,yes,up,140.2,177.71,184.56,59.24,78.55,78.47,167.49,72.0866666667
EVM0008281,,-,0.240393243994,-2.05653174374,2.00282704473E-7,8.37762096383E-6,yes,down,159.76,129.97,189.08,490.49,638.64,695.31,159.603333333,608.146666667
EVM0008294,,-,0.21870202058,-2.19296154544,0.000271315511085,0.00333748753728,yes,down,10.52,5.7,7.02,49.09,37.44,8.35,7.74666666667,31.6266666667
EVM0008298,,-,0.209102144555,-2.25772023658,0.00857646576182,0.0467728661922,yes,down,18.24,25.11,27.06,8.68,52.44,249.4,23.47,103.506666667
EVM0008302,,-,0.444013631066,-1.17132412739,0.00144263025401,0.0123084877777,yes,down,13.75,12.59,13.53,28.92,27.57,25.62,13.29,27.37
EVM0008313,,-,3.84843993006,1.94427372859,3.45417957264E-5,0.000632308755449,yes,up,246.75,169.29,153.04,68.35,21.62,43.08,189.693333333,44.35
EVM0008331,,-,0.263085476796,-1.92639648581,2.42463302072E-5,0.000476537806863,yes,down,13.16,16.46,18.61,65.97,68.8,36.72,16.0766666667,57.1633333333
EVM0008332,,-,0.217067492879,-2.20378440474,9.37158702669E-5,0.00141417007318,yes,down,1,0.53,0.48,2.54,3.58,1.9,0.67,2.67333333333
EVM0008337,,-,0.309134615273,-1.69369288622,0.00125550986551,0.011065830196,yes,down,100.89,102.68,111.7,267.15,146.61,532.56,105.09,315.44
